sciName,comName,locName,obsReviewed,obsValid,obsDt,lat,howMany,subId,locationPrivate,lng,speciesCode,locId
Calidris mauri,Western Sandpiper,Oysterville,False,True,2024-01-03 15:21,46.54924,1,S157986391,False,-124.02795,wessan,L268336
Calidris mauri,Western Sandpiper,Playa San Andres,False,True,2024-01-03 14:10,28.7047417,1,S158165973,False,-114.2784977,wessan,L6772026
Calidris mauri,Western Sandpiper,Laguna de Ipala,False,True,2024-01-03 09:54,20.2053602,12,S157957725,False,-105.5435622,wessan,L5559151
Calidris mauri,Western Sandpiper,Elkhorn Slough--Hudson Landing mudflats & Porter Marsh,False,True,2024-01-04 17:08,36.8560012,20,S158111758,False,-121.7548674,wessan,L387163
Calidris mauri,Western Sandpiper,Bayocean Spit--ocean (west) side,False,True,2024-01-04 15:17,45.5231871,1,S158108410,False,-123.954277,wessan,L686417
Calidris mauri,Western Sandpiper,Willapa NWR--Riekkola Unit,False,True,2024-01-04 11:13,46.3682,2,S158084688,False,-123.99618,wessan,L590941
Calidris mauri,Western Sandpiper,Foster City Shell Bar,False,True,2024-01-05 16:53,37.5635405,40,S158193067,False,-122.248714,wessan,L467982
Calidris mauri,Western Sandpiper,Siltcoos River Estuary,True,True,2024-01-05 09:28,43.8756901,1,S158157312,False,-124.1524601,wessan,L159600
Calidris mauri,Western Sandpiper,Estero El Guayabal,False,True,2024-01-05 06:41,23.4080227,3,S158162038,False,-106.5363765,wessan,L6664381
Calidris mauri,Western Sandpiper,Newport Back Bay,False,True,2024-01-06 16:14,33.6264124,500,S158304845,False,-117.8853178,wessan,L859765
Calidris mauri,Western Sandpiper,Tillamook Bay,False,True,2024-01-06 14:05,45.5106777,1,S158309471,False,-123.9123917,wessan,L159569
Calidris mauri,Western Sandpiper,Hoquiam STP,False,True,2024-01-06 11:07,46.9732093,5,S158279012,False,-123.9165354,wessan,L264861
Calidris mauri,Western Sandpiper,Boundary Bay Regional Park,True,True,2024-01-06 10:00,49.018181,1,S158313584,False,-123.0461152,wessan,L281095
Calidris mauri,Western Sandpiper,Playa El Ciprés,False,True,2024-01-06 10:09,31.8129954,5,S158271957,False,-116.608293,wessan,L3900999
Calidris mauri,Western Sandpiper,"MX-SIN-Mazatlán (23.1953,-106.3593) Mudflats at Geothermal Plant",False,True,2024-01-06 14:23,23.195319,3,S158292510,True,-106.359255,wessan,L10454936
Calidris mauri,Western Sandpiper,Bayshore Bikeway--10th Street (Pond 23),False,True,2024-01-07 16:42,32.5901154,600,S158410806,False,-117.1133738,wessan,L859942
